YEAR,Labor Force,Employment,Emp/Pop,Unemployed,Unemp Rate,LFPART
Sep-88,"3,249.90","3,075.10",52.7,174.8,5.4,55.7
Oct-88,"3,260.10","3,080.20",52.8,180,5.5,55.9
Nov-88,"3,270.50","3,086.30",52.9,184.3,5.6,56
Dec-88,"3,281.40","3,093.00",53,188.4,5.7,56.2
Jan-89,"3,292.50","3,099.50",53.1,193,5.9,56.4
Feb-89,"3,303.60","3,105.30",53.2,198.3,6,56.6
Mar-89,"3,314.10","3,110.60",53.3,203.5,6.1,56.7
Apr-89,"3,323.30","3,115.00",53.3,208.3,6.3,56.9
May-89,"3,330.40","3,117.80",53.4,212.6,6.4,57
Jun-89,"3,335.50","3,119.10",53.4,216.4,6.5,57.1
Jul-89,"3,339.40","3,119.50",53.4,219.9,6.6,57.1
Aug-89,"3,342.50","3,119.90",53.4,222.6,6.7,57.2
Sep-89,"3,345.50","3,121.20",53.4,224.4,6.7,57.2
Oct-89,"3,349.30","3,123.70",53.4,225.6,6.7,57.3
Nov-89,"3,353.30","3,126.80",53.5,226.5,6.8,57.3
Dec-89,"3,356.20","3,129.60",53.5,226.6,6.8,57.4
Jan-90,"3,358.20","3,132.50",53.8,225.7,6.7,57.6
Feb-90,"3,358.80","3,135.00",53.8,223.8,6.7,57.6
Mar-90,"3,358.10","3,136.70",53.7,221.3,6.6,57.5
Apr-90,"3,357.10","3,138.00",53.7,219.1,6.5,57.5
May-90,"3,357.70","3,139.60",53.6,218.1,6.5,57.4
Jun-90,"3,360.40","3,141.20",53.6,219.3,6.5,57.4
Jul-90,"3,348.90","3,126.20",53.3,222.7,6.6,57.1
Aug-90,"3,338.90","3,111.00",53.1,227.8,6.8,57
Sep-90,"3,328.90","3,095.30",52.8,233.7,7,56.8
Oct-90,"3,318.50","3,079.00",52.5,239.5,7.2,56.6
Nov-90,"3,308.30","3,063.20",52.3,245.1,7.4,56.5
Dec-90,"3,298.40","3,047.50",52,250.9,7.6,56.3
Jan-91,"3,296.20","3,038.20",51.9,257.9,7.8,56.3
Feb-91,"3,278.30","3,012.00",51.4,266.3,8.1,56
Mar-91,"3,283.80","3,008.60",51.4,275.2,8.4,56.1
Apr-91,"3,287.00","3,003.70",51.3,283.3,8.6,56.2
May-91,"3,287.30","2,998.20",51.3,289.1,8.8,56.2
Jun-91,"3,285.50","2,993.20",51.2,292.3,8.9,56.2
Jul-91,"3,282.80","2,989.00",51.1,293.8,9,56.1
Aug-91,"3,280.50","2,985.10",51,295.4,9,56.1
Sep-91,"3,279.60","2,980.80",51,298.8,9.1,56.1
Oct-91,"3,280.10","2,975.00",50.8,305.1,9.3,56.1
Nov-91,"3,281.50","2,967.90",50.7,313.6,9.6,56.1
Dec-91,"3,283.50","2,960.70",50.6,322.8,9.8,56.1
Jan-92,"3,286.30","2,954.70",50.5,331.6,10.1,56.2
Feb-92,"3,291.00","2,950.60",50.4,340.3,10.3,56.3
Mar-92,"3,298.20","2,949.10",50.4,349.1,10.6,56.4
Apr-92,"3,308.50","2,950.30",50.4,358.2,10.8,56.6
May-92,"3,319.60","2,952.30",50.5,367.4,11.1,56.8
Jun-92,"3,328.60","2,953.30",50.5,375.3,11.3,56.9
Jul-92,"3,334.30","2,953.20",50.5,381.1,11.4,57
Aug-92,"3,336.50","2,952.30",50.4,384.2,11.5,57
Sep-92,"3,336.40","2,951.20",50.4,385.2,11.5,57
Oct-92,"3,335.50","2,951.00",50.4,384.5,11.5,56.9
Nov-92,"3,333.90","2,951.40",50.3,382.5,11.5,56.9
Dec-92,"3,331.40","2,951.90",50.3,379.4,11.4,56.8
Jan-93,"3,327.90","2,953.20",50.3,374.7,11.3,56.7
Feb-93,"3,323.30","2,955.50",50.3,367.8,11.1,56.6
Mar-93,"3,318.00","2,958.70",50.4,359.3,10.8,56.5
Apr-93,"3,312.10","2,962.30",50.4,349.8,10.6,56.4
